OldText,NewText,Label
largest,Largest,
Plant,Plant,
in,in,
the,the,
World.,World.,
stem,stem,
of,of,
tho,the,
plant,plant,
is,is,
as,as,
strong,strong,
as,as,
an,an,
or-,or-,
habitants,habitants,
of,of,
tho,the,
South,South,
Sea,Sea,
"Islands,","Islands,",
a,a,
depth,depth,
of,of,
from,from,
200,200,
to,to,
300,300,
foet.,feet.,
As,As,
soon,soon,
#NAME?,as,
the,the,
:,plant,
plant,takes,
takes,root,
root,a,
a,spear-,
*,"""Happy",
"■•"".","Tom""",
',Burrell,
'Happy,was,
Tom,arrested,
sworn,sworn,
out,out,
by,by,
Tom,Tom,
Irvine.,Irvine.,
V.,His,
His,case,
came,came,
up,up,
#NAME?,in,
Justice,Justice,
Carpender's,Carpender's,
court,court,
rell,rell,
was,was,
acquitted.,acquitted.,
