oldText,newText,sameLength,editDist_0,NOCORRECTION,editDistAbove1,editDistBelow3,editDist_1andcaseChange,SPELLCHECK,ADDITION,CAPITALIZATION,TYPO
largest,Largest,1,0,0,0,0,1,0,0,1,0
Plant,Plant,1,1,1,0,0,0,0,0,0,0
in,in,1,1,1,0,0,0,0,0,0,0
the,the,1,1,1,0,0,0,0,0,0,0
World.,World.,1,1,1,0,0,0,0,0,0,0
stem,stem,1,1,1,0,0,0,0,0,0,0
of,of,1,1,1,0,0,0,0,0,0,0
tho,the,1,0,0,0,0,0,0,0,0,1
plant,plant,1,1,1,0,0,0,0,0,0,0
is,is,1,1,1,0,0,0,0,0,0,0
as,as,1,1,1,0,0,0,0,0,0,0
strong,strong,1,1,1,0,0,0,0,0,0,0
as,as,1,1,1,0,0,0,0,0,0,0
an,an,1,1,1,0,0,0,0,0,0,0
or-,or-,1,1,1,0,0,0,0,0,0,0
habitants,habitants,1,1,1,0,0,0,0,0,0,0
of,of,1,1,1,0,0,0,0,0,0,0
tho,the,1,0,0,0,0,0,0,0,0,1
South,South,1,1,1,0,0,0,0,0,0,0
Sea,Sea,1,1,1,0,0,0,0,0,0,0
"Islands,","Islands,",1,1,1,0,0,0,0,0,0,0
a,a,1,1,1,0,0,0,0,0,0,0
depth,depth,1,1,1,0,0,0,0,0,0,0
of,of,1,1,1,0,0,0,0,0,0,0
from,from,1,1,1,0,0,0,0,0,0,0
200,200,1,1,1,0,0,0,0,0,0,0
to,to,1,1,1,0,0,0,0,0,0,0
300,300,1,1,1,0,0,0,0,0,0,0
foet.,feet.,1,0,0,0,0,0,0,0,0,1
As,As,1,1,1,0,0,0,0,0,0,0
soon,soon,1,1,1,0,0,0,0,0,0,0
#NAME?,as,0,0,0,0,0,0,0,1,0,0
the,the,1,1,1,0,0,0,0,0,0,0
:,plant,0,0,0,0,0,0,0,1,0,0
plant,takes,1,0,0,1,0,0,0,1,0,0
takes,root,0,0,0,0,0,0,0,1,0,0
root,a,0,0,0,0,0,0,0,1,0,0
a,spear-,0,0,0,0,0,0,0,1,0,0
*,"""Happy",0,0,0,0,0,0,0,1,0,0
"■•"".","Tom""",0,0,0,0,0,0,0,1,0,0
,Burrell,0,0,0,0,0,0,0,1,0,0
Happy,was,0,0,0,0,0,0,0,1,0,0
Tom,arrested,0,0,0,0,0,0,0,1,0,0
sworn,sworn,1,1,1,0,0,0,0,0,0,0
out,out,1,1,1,0,0,0,0,0,0,0
by,by,1,1,1,0,0,0,0,0,0,0
Tom,Tom,1,1,1,0,0,0,0,0,0,0
Irvine.,Irvine.,1,1,1,0,0,0,0,0,0,0
V.,His,0,0,0,0,0,0,0,1,0,0
His,case,0,0,0,0,0,0,0,1,0,0
came,came,1,1,1,0,0,0,0,0,0,0
up,up,1,1,1,0,0,0,0,0,0,0
#NAME?,in,0,0,0,0,0,0,0,1,0,0
Justice,Justice,1,1,1,0,0,0,0,0,0,0
Carpender's,Carpender's,1,1,1,0,0,0,0,0,0,0
court,court,1,1,1,0,0,0,0,0,0,0
rell,rell,1,1,1,0,0,0,0,0,0,0
was,was,1,1,1,0,0,0,0,0,0,0
acquitted.,acquitted.,1,1,1,0,0,0,0,0,0,0
